timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743805550.7796285,,,,,,,,,,,,,,nan,286688200.0,nan
1743805550.7822163,774.43225,743.00366,780.07324,787.72894,nan,nan,,,,,,,,,,
1743805550.7861216,784.5055,772.01465,798.20514,761.53845,nan,nan,,,,,,,,,,
1743805550.7900164,,,,,,,,,,1612527.5,1609304.0,,,,,
1743805550.7900269,805.05493,824.7985,819.9634,794.57874,nan,nan,,,,,,,,,,
1743805550.7912405,,,,,,,-0.19769287,0.05267334,0.9802246,,,,,,,
1743805550.7939320,809.4872,795.38464,797.3993,819.5604,nan,nan,,,,,,,,,,
1743805550.7952480,,,,,,,,,,,,,,nan,286701920.0,nan
1743805550.7978373,784.5055,751.06226,772.01465,800.2198,nan,nan,,,,,,,,,,
1743805550.8017426,763.95605,757.50916,777.6557,766.77655,nan,nan,,,,,,,,,,
1743805550.8056476,789.7436,803.44324,807.0696,775.2381,nan,nan,,,,,,,,,,
1743805550.8095529,814.7253,808.68134,810.696,816.337,nan,nan,,,,,,,,,,
1743805550.8108487,,,,,,,-0.20129395,0.044311523,0.97698975,,,,,,,
